id,name,price,description,speed,engine_type,build,weight,material,engine_l,hp,history,image_url
61,Ferrari SF90 Stradale,"$846,888 AUD",The Ferrari SF90 Stradale is a hybrid supercar that combines stunning performance with cutting-edge technology. It is one of the most powerful and advanced models ever produced by Ferrari.,2.5s,V8 Hybrid,Coupe,1.57 tonnes,Carbon Fiber,4.0L,986hp,"The Ferrari SF90 Stradale was introduced in 2019 as Ferrari’s first series-production plug-in hybrid electric vehicle (PHEV). Named in honor of Ferrari’s 90th anniversary, the SF90 Stradale is a testament to the brand’s commitment to innovation and performance. The car features a 4.0-liter V8 engine paired with three electric motors, producing a combined output of 986 horsepower. This allows the SF90 Stradale to achieve unprecedented levels of performance, with a top speed of 340 km/h and a 0-100 km/h time of just 2.5 seconds. The SF90 Stradale represents a new chapter in Ferrari’s history, blending traditional combustion engine power with electric propulsion to create a hypercar for the modern era.",sf90_stradale.jpg
62,Ferrari SF90 Spider,"$960,888 AUD","The Ferrari SF90 Spider is the convertible version of the SF90 Stradale, offering the same incredible performance and hybrid technology with the added thrill of open-top driving.",2.5s,V8 Twin Turbo,Convertible,1.67 tonnes,Carbon Fiber,4.0L,986hp,"Unveiled in 2020, the Ferrari SF90 Spider builds on the success of the SF90 Stradale by offering an open-top experience. It features the same 4.0-liter V8 engine and three electric motors as the Stradale, delivering a total of 986 horsepower. The retractable hardtop can be opened in just 14 seconds, allowing drivers to enjoy the exhilaration of the SF90’s performance with the wind in their hair. The SF90 Spider is a marvel of engineering, combining the latest in hybrid technology with Ferrari’s iconic design and craftsmanship. It represents a new level of versatility in the world of supercars, allowing for both track-focused performance and luxurious cruising.",sf90_spider.jpg
63,Ferrari 296 GTB,"$568,888 AUD",The Ferrari 296 GTB is a plug-in hybrid sports car that represents a new era of performance and efficiency for Ferrari. It features a compact V6 engine paired with an electric motor.,2.9s,Twin Turbo V6 Hybrid,Coupe,1.47 tonnes,Aluminum,3.0L,818hp,"Introduced in 2021, the Ferrari 296 GTB marks the return of the V6 engine to Ferrari’s lineup, but with a modern twist. The 296 GTB features a 3.0-liter twin-turbo V6 engine combined with an electric motor, producing a total of 818 horsepower. This setup allows the car to accelerate from 0-100 km/h in just 2.9 seconds. The 296 GTB is designed to deliver both performance and efficiency, with the ability to run on electric power alone for short distances. Its compact size and advanced aerodynamics make it a nimble and capable sports car, while the hybrid powertrain offers a glimpse into the future of Ferrari performance vehicles.",296_gtb.jpg
64,Ferrari 296 GTS,"$618,888 AUD","The Ferrari 296 GTS is the convertible variant of the 296 GTB, offering the same hybrid powertrain and performance with the added excitement of open-top driving.",2.9s,V6 Hybrid,Convertible,1.54 tonnes,Aluminum,3.0L,818hp,"Launched in 2022, the Ferrari 296 GTS brings the thrill of the 296 GTB’s hybrid performance to a convertible format. It shares the same 3.0-liter V6 engine and electric motor setup, producing 818 horsepower. The retractable hardtop can be opened or closed in 14 seconds, even at speeds of up to 45 km/h. The 296 GTS combines Ferrari’s latest hybrid technology with the joy of open-air driving, making it a versatile and exciting addition to the Ferrari lineup. The GTS offers a unique driving experience, blending cutting-edge engineering with the timeless appeal of a Ferrari convertible.",296_gts.jpg
65,Ferrari 12Cilindri,"$689,888 AUD","The Ferrari 12Cilindri is a powerful grand tourer that combines luxury and performance in a stylish package. It is equipped with a V12 engine, delivering impressive power and a thrilling driving experience.",3.4s,V12,Coupe,1.75 tonnes,Aluminum,6.5L,789hp,"The Ferrari 12Cilindri represents the epitome of grand touring performance. With its V12 engine and elegant design, it offers a perfect blend of power, luxury, and style. The 12Cilindri is built for long-distance driving, with a spacious and comfortable interior that ensures a relaxing journey. At the same time, its powerful engine delivers the exhilarating performance that Ferrari is known for. This model continues Ferrari’s tradition of building V12-powered grand tourers, combining modern technology with classic Ferrari craftsmanship.",12cilindri.jpg
66,Ferrari 12Cilindri Spider,"$739,888 AUD","The Ferrari 12Cilindri Spider is the open-top version of the 12Cilindri grand tourer, offering the same luxurious performance with the added thrill of open-air driving.",3.4s,V12,Convertible,1.77 tonnes,Aluminum,6.5L,789hp,"The Ferrari 12Cilindri Spider takes the grand touring experience to the next level with its retractable hardtop roof. This model combines the power and luxury of the 12Cilindri with the freedom and excitement of open-top driving. The Spider version maintains the same V12 engine and performance characteristics, ensuring that drivers can enjoy the best of both worlds. Whether cruising along the coast or tackling a mountain road, the 12Cilindri Spider delivers an unforgettable driving experience, combining Ferrari’s iconic V12 power with the joy of open-air motoring.",12cilindri_spider.jpg
67,Ferrari Purosangue,"$808,888 AUD","The Ferrari Purosangue is Ferrari's first-ever SUV, blending the brand's legendary performance with the practicality and versatility of a luxury SUV.",3.3s,V12,SUV,2.18 tonnes,Aluminum,6.5L,715hp,"The Ferrari Purosangue, meaning ""Thoroughbred"" in Italian, represents Ferrari's entry into the luxury SUV market. Launched in 2023, the Purosangue is designed to combine the performance and handling of a Ferrari sports car with the comfort and practicality of an SUV. Powered by a naturally aspirated 6.5-liter V12 engine, the Purosangue delivers 715 horsepower, making it one of the most powerful SUVs on the market. The Purosangue features all-wheel drive, adaptive suspension, and a luxurious interior with seating for four. It is built to provide a unique driving experience, blending Ferrari's racing heritage with the demands of modern-day motoring. The Purosangue is a bold step for Ferrari, expanding its lineup into a new and growing market segment.",purosangue.jpg
68,Ferrari Roma,"$409,888 AUD",The Ferrari Roma is a stylish grand tourer that combines elegant design with thrilling performance. It is a modern interpretation of Ferrari's classic front-engine GT cars.,3.4s,V8 Turbo,Coupe,1.57 tonnes,Aluminum,3.9L,612hp,"Introduced in 2020, the Ferrari Roma represents a new chapter in Ferrari's long history of front-engine grand tourers. The Roma features a 3.9-liter twin-turbo V8 engine that produces 612 horsepower, allowing it to accelerate from 0-100 km/h in just 3.4 seconds. The Roma's design is inspired by the classic Ferrari GT cars of the 1950s and 1960s, with a sleek, minimalist look that emphasizes elegance and sophistication. Inside, the Roma offers a luxurious and modern interior, with advanced technology and high-quality materials. The Roma is designed to be a versatile grand tourer, capable of delivering both comfort and performance on long journeys.",roma.jpg
69,Ferrari Roma Spider,"$459,888 AUD","The Ferrari Roma Spider is the convertible version of the Roma grand tourer, offering the same elegant design and performance with the added thrill of open-top driving.",3.4s,V8 Twin Turbo,Convertible,1.6 tonnes,Aluminum,3.9L,612hp,"The Ferrari Roma Spider, introduced in 2021, brings the elegance and performance of the Roma to an open-top format. Like the coupe, the Roma Spider is powered by a 3.9-liter twin-turbo V8 engine that produces 612 horsepower. The convertible roof can be opened or closed in just 14 seconds, even at speeds of up to 50 km/h. The Roma Spider offers the same luxurious interior and advanced technology as the coupe, with the added joy of open-air driving. It is designed for those who want to enjoy Ferrari's grand touring experience with the wind in their hair.",roma_spider.jpg
70,Ferrari SF90 XX Stradale,"$1,045,888 AUD","The Ferrari SF90 XX Stradale is a track-focused version of the SF90 Stradale, offering even greater performance and exclusivity.",2.3s,V8 Twin Turbo,Coupe,1.54 tonnes,Carbon Fiber,4.0L,986hp,"The Ferrari SF90 XX Stradale, introduced in 2023, is the ultimate expression of the SF90 platform. This limited-edition model is designed for track enthusiasts, with a focus on performance and handling. It features the same hybrid powertrain as the SF90 Stradale, but with various upgrades to the chassis, aerodynamics, and suspension. The SF90 XX Stradale is lighter and more focused than the standard SF90, with increased downforce and more aggressive styling. This model is intended for those who want the most extreme version of Ferrari's hybrid supercar, with a driving experience that is closer to that of a race car.",sf90_xx_stradale.jpg
